Dataset,Filename,Location,Meter_#,Orientation,Transect_#,Depth (ft),coca_cover,stpu_cover,mefr_cover,Point,Focal,Neighbor.1,Neighbor.2,Neighbor.3,Neighbor.4,Neighbor.Extra,Already counted?,Comments
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,25,0,0,no,corynactis,coca,hbc,N/A,N/A,N/A,no,32/62 Coca data collected
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,wasu,N/A,N/A,neighbor 1,10/16 Mefr data collected
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1,1 Stpu identified but incorrectly so no data
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,enco,N/A,N/A,neigbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,enco,enco,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,rh,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,rh,rh,enco,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,enco,rh,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,coca,enco,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,wasu,retu,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,retu,retu,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,hbc,enco,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,hbc,rh,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,rh,rh,rh,hbc,N/A,no,
