scientific name,shorthand
cnidaria- urticina eques,ureq
cnidaria- corynactis californica,coca
cnidaria- astrangia haimei,asha
cnidaria- clavularia spp,clsp
cnidaria- epiactis prolifera,eppr
cnidaria- calico anemone unidentified,caan
cnidaria- zoanthid unidentified,zoun
cnidaria- paracyathus stearnsii,past
cnidaria- obelia,ob
cnidaria- plumaria,pl
cnidaria- eudendrium californicum,euca
cnidaria- aglaophenia latirostris,agla
cnidaria- peach anemone,pean
cnidaria- anthopleura sola,anso
cnidaria- balanophyllia elegans,bael
cnidaria- abietinaria spp,ab
cnidaria- discophytonn rudyi,diru
cnidaria- ectopleura crocea,eccr
cnidaria- orthopyxis spp,orsp
cnidaria- anthopleura artemisia,anar
cnidaria- coenocyathus bowersi,cobo
cnidaria- muricea californica,muca
cnidaria- sympletoscyphus turgidus,sytu
cnidaria- white anemone unidentified,whan
cnidaria- brown speckled anemone unidentified,bsau
echinodermata- strongylocentrotus purpuratus,stpu
echinodermata- mesocentrotus franciscanus,mefr
echinodermata- cucumaria salma,cusa
echinodermata- patiria miniata,pami
echinodermata- eupentaca quinquesemita,euqu
echinodermata- pachythyone rubra,paru
echinodermata- cucumaria piperata,cupi
echinodermata- pisaster giganteus,pigi
echinodermata- ophioplocus esmarki,opes
no data- shadow,ndsh
no data- water,ndwa
no data- obstruction,ndob
ectoprocta- peach encrusting baroyozoan,peb
ectoprocta- bugulina californica,buca
ecoprocta- celleporaria,ce
ectoprocta- celleporaria brunnea,cebr
ectoprocta- watersipora substrata,wasu
ectoprocta- cellaria sp,cesp
ectoprocta- sunflower enrusting baroyozoan,seb
Ectoprocta- cream encrusting baroyozoan,ceb
Ectoprocta- rusty encrusting baroyozoan,reb
ectoprocta- thalamoporella californica,thca
ectoprocta- bugula neritina,bune
ectoprocta- yellow green encrusting baroyozoan,ygeb
ectoprocta- diperoforma californica,dica
ectoprocta- brown fine baroyozoan,bfb
ectoprocta- crisia sp A unidentified,csau
ectoprocta- celleporina robertsoniae,cero
ectoprocta- crisia sp B unidentified,csbu
ectoprocta- celleporaria barounnea,ceba
ectoprocta- flustrellidra corniculata,flco
ectoprocta- purple orange encrusting bryozoan,poeb
ectoprocta- filicrisia spp,fi
ectoprocta- phidolopora labiata,phla
substrate- sand,sa
substrate- shells,sh
substrate- amphipod tube complex,atc
substrate- hydroid/ baroyozoan complex,hbc
substrate- bare rock,baro
substrate- benthic diatoms,bedi
Porifera- leucilla nuttingi,lenu
porifera- yellow sponge unidentified,ysu
Porifera - orange encrusting sponge,oes
Porifera - snot sponge,snsp
porifera- gold encrusting sponge,ges
porifera- thin peach sponge unidentified,tpsu
porifera- peach boring sponge unidentified,pbs
porifera- haliclona sp cream unidentified,hscu
porifera- acarnus erithacus,acer
porifera- acanthancora cyanocrypta,accy
porifera- haliclona sp orange unidentified,hsou
porifera- spheciospongia confoederata,spco
porifera- red encrusting sponge,res
porifera- pale orange sponge unidenified,pos
porifera- thethya californiana,teca
porifera- blood orange sponge unidentified,bos
porifera- leiosella idia,leid
porifera- leucosolenia eleanor,leel
porifera- bread crumb sponge,bcs
porifera- yellow erect sponge,yes
porifera- clathria pennata,clpe
porifera- dusty white sponge,dws
porifera- orange mound sponge,oms
annelida- salmacina tribaroanchiata,satr
annelida- pista elongata,piel
Annelida - Eudistylia polymorpha,eupo
Annelida- solidary calcareous tube worm,sctw
Annelida- spirorbid worm,spwo
Annelida- spirobranchus spinosus,spsp
Annelida- sectioned tube worm unidentified,stw
annelida- dodecaceria fewkesi,dofe
annelida- phragmatopoma californica,phca
chordata- green bubble tunicate,gbt
chordata- euherdmania claviforms,eucl
chordata- didemnum,di
chordata- trididemnum opacum,trop
chordata- trididemnum spp,trsp
Chordata - Diplosoma listerianum,dili
chordata- ritterella pulchra,ripu
chordata- eudistoma psammion,eups
chordata- metandrocarpa taylori,meta
chordata- perophora annectens,pero
chordata- blush dotted tunicate unidentified,bdt
chordata- styela montereyensis,stmo
chordata- small orange tunicate,sot
chordata- orange circle tunicate,oct
chlorophyta- ulva taeniata,ulta
chordata- distaplia occidentalis,dioc
Chlorophyta - filamentous green,figr
chlorophyta- codium fragile,cofr
chlorophyta- cladophora graminea,clgr
rhodophyta- rhodymenia,rh
rhodophyta- filamentous red,fire
rhodophyta- rhodymenia californica,rhca
rhodophyta- callophyllis pinnata,capi
rhodophyta- callophyllis violacea,cavi
rhodophyta- callophyllis sp,casp
rhodophyta- chondracanthus big blade,cbb
Rhodophyta- Chondracanthus spinosus,chsp
Rhodophyta-red turf,retu
rhydophyta- corallina officinalis,coof
rhodophyta- encrusting coralline,enco
rhodophyta- acrosorium ciliolatum,acci
rhodophyta- plocamium cartilagineum subsp pacificum,pcsp
rhodophyta- laurencia pacifica,lapa
rhodophyta- sarcodiotheca furcata,safu
rhodophyta- ahnfeltiopsis linearis,ahli
rhodophyta- bossiella dichotoma,bodi
rhodophyta- gloiocladia laciniata,glla
rhodophyta- encrusting red algae,era
rhodophyta- red feather algae unidentified,rfa
rhodophyta- cryptopleura ruprechtiana,crru
rhodophyta- halymenia spp,ha
rhodophyta- sarcodiotheca gaudichaudii,saga
rhodophyta- scinaia confusa,scco
rhodophyta- calliarthron tuberculosum,catu
rhodophyta- nienburgia andersoniana,nian
rhodophyta- microcladia coulteri,mico
rhodophyta- anisocladella pacifica,anpa
Mollusca- thylacodes squamigerus,thsq
mollusca- chaceia ovoidea,chov
mollusca- crassadoma gigantea,crgi
mollusca- petaloconchus montereyensis,pemo
mollusca- flabellinopsis iodinea,flio
mollusca- parapholas californica,paca
mollusca- octopus bimaculatus,ocbi
mollusca- neobernaya spadicea,nesp
mollusca- kelletia kelletii,keke
mollusca- hermissenda crassicornis,hecr
heterokontophyta- baroown blade,babl
heterokontophyta- stephanocystis osmundacea,stos
heterokontophyta- macrosistis pyrifera,mapy
heterokontophyta- colpomenia peregrina,cope
heterokontophyta- dictyota flabellata,difl
heterokontophyta- pterygophora californica,ptca
heterokontophyta- laminaria farlowii,lafa
heterokontophyta- desmarestia ligulata,deli
heterokontophyta- dictyopteris undulata,diun
heterokontophyta- sargassum muticum,samu
heterokontophyta- brown blade unidentified,brbl
heterokontophyta- egregia menziesii,egme
anthropoda- barnacles unidentified,baun
Anthropoda- balanus,ba
anthropoda- megabalanus californicus,meca
anthropoda- balanus nubilus,banu
fish- oxylebius pictus,oxpi
fish- sebastes carnatus,seca
fish- orthonopias triacis,ortr
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
